,title,Unnamed: 0,Unnamed: 0.1,platform,score,genre,release_year,Dreamcast,"Game Boy (Color, Advance)",GameCube,Mobile,"Nintendo (DS, 3DS, DSi)",Nintendo 64,PC,"PlayStation (1, 2 ,3, 4)","PlayStation (Portable, Vita)",Wii (U),"Xbox (360, One)",iPad,Action,Adventure,Board,Card,Educational,Fighting,Hunting,Music,Party,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
10,0-D Beat Drop,18690,13915,"Xbox (360, One)","(8, 9]",Puzzle,2009,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,007 Legends,319,341,"Xbox (360, One)","(4, 5]",Action,2013,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,007 Racing,2424,2673,"PlayStation (1, 2 ,3, 4)","(4, 5]",Racing,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,007: The World is Not Enough,2489,2739,"PlayStation (1, 2 ,3, 4)","(8, 9]",Shooter,2000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,007: Tomorrow Never Dies,1510,1686,"PlayStation (1, 2 ,3, 4)","(4, 5]",Action,1999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,007: Top Agent,12914,14097,Mobile,"(3, 4]",Shooter,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1-bit Ninja,14607,15880,Mobile,"(7, 8]",Platformer,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,10-Pin Bowling,1439,1611,"Game Boy (Color, Advance)","(3, 4]",Sports,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1000 Words,6504,7007,Mobile,"(7, 8]",Puzzle,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1000: Find 'Em All,12949,14135,Mobile,"(6, 7]",Adventure,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1001 BlockBusters,14909,16199,"Nintendo (DS, 3DS, DSi)","(6, 7]",Action,2011,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1001 Crystal Mazes Collection,13246,14445,"Nintendo (DS, 3DS, DSi)","(6, 7]",Puzzle,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1001 Spikes,16323,17734,Wii (U),"(7, 8]",Platformer,2014,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,101 Minigolf World,13096,14286,"Nintendo (DS, 3DS, DSi)","(6, 7]",Sports,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,101 Shark Pets,13476,14681,"Nintendo (DS, 3DS, DSi)","(6, 7]",Simulation,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,102 Dalmatians: Puppies to the Rescue,2639,2898,"PlayStation (1, 2 ,3, 4)","(6, 7]",Adventure,2000,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1080° Avalanche,4989,5378,GameCube,"(7, 8]",Sports,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,1080° Snowboarding,9661,10473,Wii (U),"(8, 9]",Sports,2008,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,10Six,2119,2339,PC,"(6, 7]",Strategy,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1112: Episode 01,11287,12318,Mobile,"(3, 4]",Simulation,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,140,15958,17325,PC,"(7, 8]",Platformer,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,1503 A.D. The New World,4384,4737,PC,"(7, 8]",Strategy,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,16 Shot!  Shooting Watch,13493,14698,"Nintendo (DS, 3DS, DSi)","(4, 5]",Shooter,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1602 A.D.,1810,2002,PC,"(7, 8]",Strategy,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1701 A.D.,7876,8456,PC,"(8, 9]",Simulation,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,1701 A.D. (Gold Edition),10405,11327,PC,"(8, 9]",Simulation,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,18-Wheeler American Pro Trucker,3413,3696,GameCube,"(7, 8]",Racing,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,18-Wheeler: American Pro Trucker,3190,3467,"PlayStation (1, 2 ,3, 4)","(5, 6]",Racing,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,187 Ride or Die,17963,7075,"Xbox (360, One)","(4, 5]",Racing,2005,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
